pin,slack
dac_out_right_obuf/U0/U_IOOUTFF:A,
dac_out_right_obuf/U0/U_IOOUTFF:Y,
spi_slave_0/TxData[8]:ALn,
spi_slave_0/TxData[8]:CLK,2002
spi_slave_0/TxData[8]:D,2002
spi_slave_0/TxData[8]:Q,2002
spi_slave_0/TxData[8]:SLn,200
spi_slave_0/SS_old_RNIM0QF1:A,866
spi_slave_0/SS_old_RNIM0QF1:B,794
spi_slave_0/SS_old_RNIM0QF1:C,689
spi_slave_0/SS_old_RNIM0QF1:D,583
spi_slave_0/SS_old_RNIM0QF1:Y,583
spi_slave_0/RxdData[20]:ALn,
spi_slave_0/RxdData[20]:CLK,1994
spi_slave_0/RxdData[20]:D,1994
spi_slave_0/RxdData[20]:EN,468
spi_slave_0/RxdData[20]:Q,1994
spi_slave_0/index_n3_i_1:A,923
spi_slave_0/index_n3_i_1:B,875
spi_slave_0/index_n3_i_1:C,-310
spi_slave_0/index_n3_i_1:D,-452
spi_slave_0/index_n3_i_1:Y,-452
dac_0/SIGMA_ADDER_0/temp_reg_cry_12:A,781
dac_0/SIGMA_ADDER_0/temp_reg_cry_12:B,687
dac_0/SIGMA_ADDER_0/temp_reg_cry_12:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_12:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_12:S,554
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_1:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_1:IPB,
dac_1/DELTA_ADDER_0/data_out_1[2]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[2]:CLK,497
dac_1/DELTA_ADDER_0/data_out_1[2]:D,
dac_1/DELTA_ADDER_0/data_out_1[2]:Q,497
dac_0/SIGMA_ADDER_0/sigma_register[8]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[8]:CLK,705
dac_0/SIGMA_ADDER_0/sigma_register[8]:D,630
dac_0/SIGMA_ADDER_0/sigma_register[8]:Q,705
dac_1/SIGMA_ADDER_0/sigma_register[13]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[13]:CLK,800
dac_1/SIGMA_ADDER_0/sigma_register[13]:D,535
dac_1/SIGMA_ADDER_0/sigma_register[13]:Q,800
dac_0/DELTA_ADDER_0/data_out_1[10]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[10]:CLK,649
dac_0/DELTA_ADDER_0/data_out_1[10]:D,
dac_0/DELTA_ADDER_0/data_out_1[10]:Q,649
AND2_0_RNIKOS1/U0_RGB1:An,
AND2_0_RNIKOS1/U0_RGB1:YL,
data_receiver_0/data[8]:ALn,
data_receiver_0/data[8]:CLK,
data_receiver_0/data[8]:D,
data_receiver_0/data[8]:Q,
dac_1/DELTA_ADDER_0/data_out_1[14]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[14]:CLK,725
dac_1/DELTA_ADDER_0/data_out_1[14]:D,
dac_1/DELTA_ADDER_0/data_out_1[14]:Q,725
data_receiver_0/data[22]:ALn,
data_receiver_0/data[22]:CLK,
data_receiver_0/data[22]:D,
data_receiver_0/data[22]:Q,
spi_slave_0/index_n2_i_o2:A,-369
spi_slave_0/index_n2_i_o2:B,-452
spi_slave_0/index_n2_i_o2:Y,-452
dac_1/SIGMA_ADDER_0/sigma_register[8]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[8]:CLK,705
dac_1/SIGMA_ADDER_0/sigma_register[8]:D,630
dac_1/SIGMA_ADDER_0/sigma_register[8]:Q,705
dac_1/SIGMA_ADDER_0/sigma_register[10]:ALn,-921
