
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. soundchip, 177, 16, 36, 0, 0, 0, 0, 4, 6
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. dac, 35, 0, 18, 0, 0, 0, 0, 0, 0
.	.	. delta_adder, 17, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. sigma_adder, 18, 0, 18, 0, 0, 0, 0, 0, 0
.	. dac_0, 35, 0, 18, 0, 0, 0, 0, 0, 0
.	.	. delta_adder_0, 17, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. sigma_adder_0, 18, 0, 18, 0, 0, 0, 0, 0, 0
.	. data_receiver, 32, 1, 0, 0, 0, 0, 0, 1, 0
.	. spi_slave, 75, 14, 0, 0, 0, 0, 0, 1, 0
